player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2257,5,50000,22819,0,27181,11174,1819,37007
2257,6,50000,22377,0,27623,12901,1830,35269
2257,7,50000,12994,0,37006,12461,2794,34745
2257,8,50000,11646,0,38354,11804,2317,35879
2257,9,50000,11728,0,38272,10193,3027,36780
2257,K,50000,10485,0,39515,8339,2951,38710
2257,A,50000,6666,0,43334,6359,2927,40714
2258,2,50000,18442,6314,25244,9763,1756,38481
2258,3,50000,19737,6421,23842,9905,1603,38492
2258,4,50000,20511,6318,23171,9660,1591,38749
2258,5,50000,22912,4755,22333,10842,1611,37547
2258,6,50000,22220,8447,19333,11386,1412,37202
2258,7,50000,12888,19565,17547,12164,1224,36612
2258,8,50000,11621,6409,31970,10877,2515,36608
2258,9,50000,12167,5085,32748,10068,1978,37954
2258,K,50000,10458,5666,33876,8407,2568,39025
2258,A,50000,6361,6031,37608,6216,2918,40866
2259,2,50000,24645,6349,19006,7198,1176,41626
2259,3,50000,25479,5997,18524,7162,1159,41679
2259,4,50000,26651,5755,17594,8185,1258,40557
2259,5,50000,27547,5981,16472,8232,1192,40576
2259,6,50000,30830,4045,15125,8577,1008,40415
2259,7,50000,32267,6913,10820,8925,818,40257
2259,8,50000,17630,19288,13082,9016,879,40105
2259,9,50000,18046,3985,27969,7837,2149,40014
2259,K,50000,15945,5547,28508,6650,1666,41684
2259,A,50000,12393,6292,31315,4763,2327,42910
225A,2,50000,37753,6252,5995,28304,4227,17469
225A,3,50000,37844,6252,5904,28814,4036,17150
225A,4,50000,38286,5869,5845,29908,3947,16145
225A,5,50000,39962,4657,5381,31749,3350,14901
225A,6,50000,40119,5309,4572,32112,3504,14384
225A,7,50000,42369,3931,3700,29150,3633,17217
225A,8,50000,43550,2966,3484,27636,3462,18902
225A,9,50000,42325,5221,2454,25597,4262,20141
225A,K,50000,27662,17457,4881,19736,6765,23499
225A,A,50000,24286,6551,19163,14916,4654,30430
225K,2,50000,30383,6977,12640,4191,662,45147
225K,3,50000,31403,6200,12397,5022,808,44170
225K,4,50000,32364,5617,12019,5066,758,44176
225K,5,50000,33397,6153,10450,5279,609,44112
225K,6,50000,34869,5420,9711,5363,619,44018
225K,7,50000,38961,3390,7649,5588,506,43906
225K,8,50000,36908,6700,6392,5667,388,43945
225K,9,50000,23118,18126,8756,5583,498,43919
225K,K,50000,21637,5884,22479,4289,1667,44044
225K,A,50000,18692,6422,24886,2917,1190,45893
2262,2,50000,18219,0,31781,17478,2400,30122
2262,3,50000,19276,0,30724,18015,2554,29431
2262,4,50000,20788,0,29212,18760,2503,28737
2262,5,50000,23401,0,26599,19946,1987,28067
2262,6,50000,22121,0,27879,19521,2302,28177
2262,7,50000,13234,0,36766,16956,2970,30074
2262,8,50000,12274,0,37726,15405,2752,31843
2262,9,50000,11804,0,38196,14017,3116,32867
2262,K,50000,9887,0,40113,12048,3334,34618
2262,A,50000,6597,0,43403,8929,3535,37536
2263,2,50000,18099,0,31901,15589,2590,31821
2263,3,50000,19302,0,30698,16306,2300,31394
2263,4,50000,21349,0,28651,17031,2179,30790
2263,5,50000,23415,0,26585,17773,1977,30250
2263,6,50000,21896,0,28104,17881,2190,29929
2263,7,50000,13287,0,36713,15487,3061,31452
2263,8,50000,12068,0,37932,14280,3075,32645
2263,9,50000,11647,0,38353,13683,2867,33450
2263,K,50000,9922,0,40078,11203,3389,35408
2263,A,50000,6601,0,43399,8293,3653,38054
2264,2,50000,18189,0,31811,13720,2510,33770
2264,3,50000,19520,0,30480,14324,2076,33600
2264,4,50000,21345,0,28655,14759,1869,33372
2264,5,50000,23419,0,26581,15571,1829,32600
2264,6,50000,22715,0,27285,15350,2108,32542
2264,7,50000,13345,0,36655,14217,2805,32978
2264,8,50000,11993,0,38007,13719,2756,33525
2264,9,50000,11499,0,38501,12056,3153,34791
2264,K,50000,10054,0,39946,10260,2978,36762
2264,A,50000,6639,0,43361,7578,3507,38915
2265,2,50000,18626,0,31374,11892,1989,36119
2265,3,50000,19634,0,30366,12121,1995,35884
2265,4,50000,21439,0,28561,12379,1752,35869
2265,5,50000,23556,0,26444,13151,1562,35287
2265,6,50000,22463,0,27537,13281,1623,35096
2265,7,50000,13170,0,36830,13607,2183,34210
2265,8,50000,11812,0,38188,12074,2834,35092
2265,9,50000,11764,0,38236,10468,2948,36584
2265,K,50000,9899,0,40101,8752,2686,38562
2265,A,50000,6626,0,43374,6676,2917,40407
2266,2,50000,18712,0,31288,11574,2338,36088
2266,3,50000,19615,0,30385,11938,2219,35843
2266,4,50000,21349,0,28651,12072,2010,35918
2266,5,50000,23499,0,26501,12460,1848,35692
2266,6,50000,21720,0,28280,13453,1896,34651
2266,7,50000,12923,0,37077,13524,2801,33675
2266,8,50000,11907,0,38093,12601,2438,34961
2266,9,50000,11402,0,38598,11124,3057,35819
2266,K,50000,9757,0,40243,9359,3219,37422
2266,A,50000,6961,0,43039,6914,3300,39786
2267,2,50000,18441,6876,24683,9685,1799,38516
2267,3,50000,19355,6710,23935,9743,1612,38645
2267,4,50000,21234,6463,22303,9989,1574,38437
2267,5,50000,22576,4977,22447,11132,1697,37171
2267,6,50000,21559,8442,19999,11095,1530,37375
2267,7,50000,12770,19529,17701,12109,1268,36623
2267,8,50000,11864,6522,31614,10787,2430,36783
2267,9,50000,11335,5991,32674,9997,1960,38043
2267,K,50000,10480,4783,34737,8182,2781,39037
2267,A,50000,6899,5228,37873,6030,2907,41063
2268,2,50000,25391,6011,18598,7272,1236,41492
2268,3,50000,26148,6630,17222,7130,1097,41773
2268,4,50000,26662,5737,17601,8188,1242,40570
2268,5,50000,27398,6012,16590,8300,1165,40535
2268,6,50000,30072,4213,15715,8309,1151,40540
2268,7,50000,32275,6766,10959,9096,741,40163
2268,8,50000,18135,19062,12803,9025,839,40136
2268,9,50000,17201,5034,27765,7776,2200,40024
2268,K,50000,16178,4704,29118,6667,1718,41615
2268,A,50000,12119,6448,31433,4740,2252,43008
2269,2,50000,31221,6733,12046,4120,672,45208
2269,3,50000,32189,5642,12169,5047,784,44169
2269,4,50000,32284,6299,11417,5193,697,44110
2269,5,50000,33344,6337,10319,5331,620,44049
2269,6,50000,33893,5541,10566,5356,705,43939
2269,7,50000,39086,3269,7645,5623,501,43876
2269,8,50000,37028,6705,6267,5780,405,43815
2269,9,50000,22235,18857,8908,5699,556,43745
2269,K,50000,21713,4766,23521,4266,1818,43916
2269,A,50000,18226,6785,24989,2934,1214,45852
226K,2,50000,37142,6537,6321,3728,516,45756
226K,3,50000,37773,6208,6019,3805,502,45693
226K,4,50000,38513,5538,5949,3713,502,45785
226K,5,50000,39622,5387,4991,3883,447,45670
226K,6,50000,39646,5215,5139,3853,434,45713
226K,7,50000,42141,4042,3817,3973,326,45701
226K,8,50000,43492,3048,3460,3923,330,45747
226K,9,50000,41101,6442,2457,3978,233,45789
226K,K,50000,27663,16362,5975,3746,405,45849
226K,A,50000,24871,6733,18396,2000,1157,46843
2272,2,50000,18103,0,31897,15534,2612,31854
2272,3,50000,19034,0,30966,16343,2250,31407
2272,4,50000,20670,0,29330,17029,2181,30790
2272,5,50000,22527,0,27473,17214,2086,30700
2272,6,50000,22256,0,27744,17618,2095,30287
2272,7,50000,13093,0,36907,15734,2966,31300
2272,8,50000,12052,0,37948,13641,3111,33248
2272,9,50000,11754,0,38246,13590,3159,33251
2272,K,50000,10537,0,39463,11322,3010,35668
2272,A,50000,6424,0,43576,8168,3586,38246
2273,2,50000,18247,0,31753,13873,2388,33739
2273,3,50000,19184,0,30816,14228,2178,33594
