player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
49,8,50000,11909,0,38091,14542,2961,32497
49,9,50000,11720,0,38280,14104,3080,32816
49,K,50000,10697,0,39303,12385,3110,34505
49,A,50000,6366,0,43634,8989,3388,37623
4A,2,50000,17953,0,32047,22980,2385,24635
4A,3,50000,19502,0,30498,23966,2271,23763
4A,4,50000,20860,0,29140,24933,2117,22950
4A,5,50000,22167,0,27833,26167,1801,22032
4A,6,50000,22497,0,27503,26387,2006,21607
4A,7,50000,13500,0,36500,21758,2820,25422
4A,8,50000,12214,0,37786,19758,3004,27238
4A,9,50000,11811,0,38189,18403,2743,28854
4A,K,50000,10752,0,39248,16235,3164,30601
4A,A,50000,6282,0,43718,10889,3519,35592
4K,2,50000,16970,0,33030,14504,2508,32988
4K,3,50000,18807,0,31193,14998,2193,32809
4K,4,50000,20250,0,29750,15655,2008,32337
4K,5,50000,21687,0,28313,16138,2030,31832
4K,6,50000,21195,0,28805,16126,2129,31745
4K,7,50000,13175,0,36825,14682,2799,32519
4K,8,50000,11900,0,38100,14212,2689,33099
4K,9,50000,11542,0,38458,12920,3024,34056
4K,K,50000,10472,0,39528,11290,3054,35656
4K,A,50000,6461,0,43539,8546,3476,37978
55,2,50000,18689,0,31311,28574,4195,17231
55,3,50000,19850,0,30150,29512,4110,16378
55,4,50000,21473,0,28527,30605,3754,15641
55,5,50000,22740,0,27260,31991,3326,14683
55,6,50000,22444,0,27556,32486,3517,13997
55,7,50000,12784,0,37216,29124,3633,17243
55,8,50000,11805,0,38195,27113,3653,19234
55,9,50000,11455,0,38545,24763,4442,20795
55,K,50000,10444,0,39556,19820,6528,23652
55,A,50000,6535,0,43465,15808,4829,29363
56,2,50000,18567,0,31433,30125,3975,15900
56,3,50000,19880,0,30120,31055,3773,15172
56,4,50000,21111,0,28889,32026,3586,14388
56,5,50000,22567,0,27433,33023,3302,13675
56,6,50000,21489,0,28511,32870,3093,14037
56,7,50000,12665,0,37335,29590,3393,17017
56,8,50000,11653,0,38347,27666,3833,18501
56,9,50000,11510,0,38490,26180,3661,20159
56,K,50000,10184,0,39816,23245,4597,22158
56,A,50000,6817,0,43183,17769,7593,24638
57,2,50000,18520,0,31480,17570,2088,30342
57,3,50000,19655,0,30345,18333,2234,29433
57,4,50000,21181,0,28819,19270,2154,28576
57,5,50000,21907,0,28093,19505,1968,28527
57,6,50000,21606,0,28394,19659,1991,28350
57,7,50000,12535,0,37465,16346,2486,31168
57,8,50000,11483,0,38517,14926,2778,32296
57,9,50000,11175,0,38825,13332,2601,34067
57,K,50000,10722,0,39278,12720,2954,34326
57,A,50000,6561,0,43439,9221,3302,37477
58,2,50000,18520,0,31480,15447,2322,32231
58,3,50000,19653,0,30347,16057,2081,31862
58,4,50000,20591,0,29409,16908,2040,31052
58,5,50000,21884,0,28116,17044,1904,31052
58,6,50000,21485,0,28515,17145,2007,30848
58,7,50000,12617,0,37383,14763,2744,32493
58,8,50000,11501,0,38499,13441,2613,33946
58,9,50000,11706,0,38294,12869,2919,34212
58,K,50000,10554,0,39446,11151,3033,35816
58,A,50000,6496,0,43504,8214,3156,38630
59,2,50000,18319,0,31681,14854,2444,32702
59,3,50000,19015,0,30985,14815,2279,32906
59,4,50000,20275,0,29725,15479,2004,32517
59,5,50000,21636,0,28364,15960,2046,31994
59,6,50000,21237,0,28763,16243,2076,31681
59,7,50000,12458,0,37542,14510,2894,32596
59,8,50000,12055,0,37945,14048,2982,32970
59,9,50000,11570,0,38430,12852,2704,34444
59,K,50000,10621,0,39379,11212,3062,35726
59,A,50000,6363,0,43637,8211,3329,38460
5A,2,50000,18397,0,31603,22925,2202,24873
5A,3,50000,19430,0,30570,23512,2093,24395
5A,4,50000,20871,0,29129,24757,2012,23231
5A,5,50000,22079,0,27921,25879,1852,22269
5A,6,50000,22241,0,27759,26906,1733,21361
5A,7,50000,13230,0,36770,21223,2501,26276
5A,8,50000,12022,0,37978,19583,2852,27565
5A,9,50000,11811,0,38189,18097,2808,29095
5A,K,50000,10927,0,39073,15851,3106,31043
5A,A,50000,6245,0,43755,10785,2926,36289
5K,2,50000,17603,0,32397,12905,2398,34697
5K,3,50000,18798,0,31202,12968,2257,34775
5K,4,50000,20263,0,29737,13440,2151,34409
5K,5,50000,21597,0,28403,14126,1952,33922
5K,6,50000,21108,0,28892,14153,2090,33757
5K,7,50000,13085,0,36915,14410,2975,32615
5K,8,50000,12040,0,37960,12868,3014,34118
5K,9,50000,11685,0,38315,11781,3009,35210
5K,K,50000,10581,0,39419,10138,2926,36936
5K,A,50000,6467,0,43533,7688,3486,38826
66,2,50000,18743,0,31257,17615,2116,30269
66,3,50000,19717,0,30283,18527,2194,29279
66,4,50000,21188,0,28812,19031,2162,28807
66,5,50000,22291,0,27709,19837,1783,28380
66,6,50000,20870,0,29130,19229,2157,28614
66,7,50000,12673,0,37327,16231,2621,31148
66,8,50000,11597,0,38403,14912,2255,32833
66,9,50000,11237,0,38763,13401,2896,33703
66,K,50000,10308,0,39692,12246,3098,34656
66,A,50000,7046,0,42954,9165,3212,37623
67,2,50000,18441,0,31559,15783,2322,31895
67,3,50000,19670,0,30330,16241,1963,31796
67,4,50000,21026,0,28974,17058,2048,30894
67,5,50000,21773,0,28227,17244,1951,30805
67,6,50000,20727,0,29273,17026,2055,30919
67,7,50000,12651,0,37349,14653,2788,32559
67,8,50000,11527,0,38473,12914,2895,34191
67,9,50000,11177,0,38823,12844,2726,34430
