player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22223AAA5A,3,50000,38050,6208,5742,0,0,50000
22223AAA5A,4,50000,38020,6162,5818,0,0,50000
22223AAA5A,5,50000,39752,4521,5727,0,0,50000
22223AAA5A,6,50000,38921,6097,4982,0,0,50000
22223AAA5A,7,50000,41660,4175,4165,0,0,50000
22223AAA5A,8,50000,44010,2346,3644,0,0,50000
22223AAA5A,9,50000,45940,2142,1918,0,0,50000
22223AAA5A,K,50000,28488,19841,1671,0,0,50000
22223AAAA3,3,50000,25421,6461,18118,1119,133,48748
22223AAAA3,4,50000,26010,5654,18336,2133,286,47581
22223AAAA3,5,50000,27688,4840,17472,2152,271,47577
22223AAAA3,6,50000,29898,2801,17301,2121,279,47600
22223AAAA3,7,50000,36639,2246,11115,2197,215,47588
22223AAAA3,8,50000,20501,21335,8164,2300,160,47540
22223AAAA3,9,50000,19171,5041,25788,2323,89,47588
22223AAAA3,K,50000,16407,5786,27807,2354,92,47554
22223AAAA4,3,50000,31612,6379,12009,0,0,50000
22223AAAA4,4,50000,31509,6537,11954,0,0,50000
22223AAAA4,5,50000,33084,5600,11316,0,0,50000
22223AAAA4,6,50000,32813,5694,11493,0,0,50000
22223AAAA4,7,50000,39198,2703,8099,0,0,50000
22223AAAA4,8,50000,41675,2337,5988,0,0,50000
22223AAAA4,9,50000,24521,21274,4205,0,0,50000
22223AAAA4,K,50000,21904,6449,21647,0,0,50000
22223AAAA5,3,50000,38094,6326,5580,0,0,50000
22223AAAA5,4,50000,38102,6050,5848,0,0,50000
22223AAAA5,5,50000,39605,4484,5911,0,0,50000
22223AAAA5,6,50000,38778,6151,5071,0,0,50000
22223AAAA5,7,50000,41828,4156,4016,0,0,50000
22223AAAA5,8,50000,43964,2398,3638,0,0,50000
22223AAAA5,9,50000,45918,2121,1961,0,0,50000
22223AAAA5,K,50000,28525,19934,1541,0,0,50000
222243AAAA,3,50000,31664,6238,12098,0,0,50000
222243AAAA,4,50000,31516,6560,11924,0,0,50000
222243AAAA,5,50000,33355,5495,11150,0,0,50000
222243AAAA,6,50000,33073,5784,11143,0,0,50000
222243AAAA,7,50000,39114,2815,8071,0,0,50000
222243AAAA,8,50000,41590,2362,6048,0,0,50000
222243AAAA,9,50000,24386,21362,4252,0,0,50000
222243AAAA,K,50000,22089,6452,21459,0,0,50000
222244AAAA,3,50000,37952,6142,5906,0,0,50000
