player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22223A43,3,0,50000,31036,6489,12475,2632,441,46927
22223A43,4,0,50000,30934,6381,12685,2581,462,46957
22223A43,5,0,50000,32329,5603,12068,2696,356,46948
22223A43,6,0,50000,34976,4292,10732,2698,384,46918
22223A43,7,0,50000,40532,2306,7162,2986,239,46775
22223A43,8,0,50000,39305,5510,5185,3062,161,46777
22223A43,9,0,50000,22546,20221,7233,2994,305,46701
22223A43,K,0,50000,20584,5698,23718,1915,1336,46749
22223A43,A,0,50000,16834,6170,26996,1083,297,48620
22223A44,3,0,50000,37395,6460,6145,3110,431,46459
22223A44,4,0,50000,37246,6374,6380,2991,456,46553
22223A44,5,0,50000,38250,5594,6156,3161,450,46389
22223A44,6,0,50000,40011,4229,5760,3162,389,46449
22223A44,7,0,50000,43050,3546,3404,3235,245,46520
22223A44,8,0,50000,44566,2039,3395,3174,211,46615
22223A44,9,0,50000,42859,5251,1890,3440,115,46445
22223A44,K,0,50000,26299,18525,5176,3230,266,46504
22223A44,A,0,50000,23325,6335,20340,1300,996,47704
22223A4A,3,0,50000,19134,5753,25113,5951,989,43060
22223A4A,4,0,50000,21170,5309,23521,5741,1006,43253
22223A4A,5,0,50000,24796,2762,22442,6980,1104,41916
22223A4A,6,0,50000,25966,5474,18560,7301,930,41769
22223A4A,7,0,50000,14776,20462,14762,7901,635,41464
22223A4A,8,0,50000,13159,6235,30606,7446,1405,41149
22223A4A,9,0,50000,12910,5618,31472,7368,606,42026
22223A4A,K,0,50000,10402,5247,34351,5800,1882,42318
22223A4A,A,0,50000,5461,5353,39186,3861,1965,44174
22223A53,3,0,50000,37473,6462,6065,3080,421,46499
22223A53,4,0,50000,37349,6389,6262,3012,428,46560
22223A53,5,0,50000,39016,5144,5840,3041,401,46558
22223A53,6,0,50000,39245,5809,4946,3094,338,46568
22223A53,7,0,50000,42628,3440,3932,3170,295,46535
22223A53,8,0,50000,44949,2161,2890,3121,216,46663
22223A53,9,0,50000,42827,5410,1763,3452,132,46416
22223A53,K,0,50000,26212,18774,5014,3237,239,46524
22223A53,A,0,50000,23193,6453,20354,1333,982,47685
22223A5A,3,0,50000,25720,5660,18620,3487,549,45964
22223A5A,4,0,50000,26501,5580,17919,4634,721,44645
22223A5A,5,0,50000,27624,5418,16958,4573,724,44703
22223A5A,6,0,50000,31361,2642,15997,4686,632,44682
22223A5A,7,0,50000,34821,4534,10645,5061,377,44562
22223A5A,8,0,50000,19460,20358,10182,5284,352,44364
22223A5A,9,0,50000,18653,4834,26513,4359,1138,44503
22223A5A,K,0,50000,15888,5602,28510,4296,562,45142
22223A5A,A,0,50000,10856,5945,33199,2382,1624,45994
22223A6A,3,0,50000,32278,5659,12063,1738,319,47943
22223A6A,4,0,50000,32324,6368,11308,1783,255,47962
22223A6A,5,0,50000,33128,6392,10480,1832,237,47931
22223A6A,6,0,50000,33279,5251,11470,1771,298,47931
22223A6A,7,0,50000,39454,2644,7902,1946,187,47867
22223A6A,8,0,50000,39774,4626,5600,2099,115,47786
22223A6A,9,0,50000,23458,20234,6308,2110,162,47728
22223A6A,K,0,50000,21313,6208,22479,1243,893,47864
22223A6A,A,0,50000,16395,6406,27199,528,170,49302
22223A7A,3,0,50000,38537,5538,5925,2135,261,47604
22223A7A,4,0,50000,38713,6077,5210,2107,210,47683
22223A7A,5,0,50000,38740,5526,5734,2061,263,47676
22223A7A,6,0,50000,38494,5837,5669,2075,277,47648
22223A7A,7,0,50000,42054,3845,4101,2097,210,47693
22223A7A,8,0,50000,44378,2309,3313,2194,171,47635
22223A7A,9,0,50000,43733,4423,1844,2231,94,47675
22223A7A,K,0,50000,27092,19048,3860,2138,140,47722
22223A7A,A,0,50000,22695,6817,20488,668,479,48853
22223AA3,3,0,50000,18683,0,31317,9170,1554,39276
22223AA3,4,0,50000,20954,0,29046,9063,1567,39370
22223AA3,5,0,50000,24723,0,25277,9210,1291,39499
22223AA3,6,0,50000,25690,0,24310,10604,1258,38138
22223AA3,7,0,50000,14763,0,35237,10744,1718,37538
22223AA3,8,0,50000,13320,0,36680,10952,1023,38025
22223AA3,9,0,50000,12636,0,37364,10133,1724,38143
22223AA3,K,0,50000,10402,0,39598,8256,2697,39047
22223AA3,A,0,50000,5698,0,44302,5833,2899,41268
22223AA4,3,0,50000,19155,5756,25089,6032,1054,42914
22223AA4,4,0,50000,21133,5362,23505,5903,925,43172
22223AA4,5,0,50000,24770,2856,22374,7059,1051,41890
22223AA4,6,0,50000,25624,5471,18905,7214,883,41903
22223AA4,7,0,50000,14802,20524,14674,7778,731,41491
22223AA4,8,0,50000,13134,6273,30593,7307,1366,41327
22223AA4,9,0,50000,12653,5722,31625,7239,677,42084
22223AA4,K,0,50000,10305,5266,34429,5932,1845,42223
22223AA4,A,0,50000,5494,5421,39085,3882,2062,44056
22223AA5,3,0,50000,25767,5768,18465,3600,607,45793
22223AA5,4,0,50000,26474,5585,17941,4504,689,44807
22223AA5,5,0,50000,27821,5365,16814,4580,711,44709
22223AA5,6,0,50000,31358,2634,16008,4602,558,44840
22223AA5,7,0,50000,34842,4566,10592,5004,431,44565
22223AA5,8,0,50000,19382,20555,10063,5226,374,44400
22223AA5,9,0,50000,18711,4775,26514,4474,1104,44422
22223AA5,K,0,50000,15534,5513,28953,4301,532,45167
22223AA5,A,0,50000,10761,5881,33358,2399,1580,46021
22223AA6,3,0,50000,32290,5567,12143,1682,279,48039
22223AA6,4,0,50000,32292,6356,11352,1875,245,47880
22223AA6,5,0,50000,33199,6267,10534,1883,255,47862
22223AA6,6,0,50000,33318,5236,11446,1779,266,47955
22223AA6,7,0,50000,39336,2682,7982,1936,168,47896
22223AA6,8,0,50000,39683,4554,5763,2028,113,47859
22223AA6,9,0,50000,23499,20202,6299,2029,162,47809
22223AA6,K,0,50000,21335,6122,22543,1340,859,47801
22223AA6,A,0,50000,16087,6488,27425,495,149,49356
22223AA7,3,0,50000,38629,5629,5742,2030,284,47686
22223AA7,4,0,50000,38580,6088,5332,2079,209,47712
22223AA7,5,0,50000,38737,5517,5746,2037,246,47717
22223AA7,6,0,50000,38601,5904,5495,2053,257,47690
22223AA7,7,0,50000,41990,3896,4114,2113,185,47702
22223AA7,8,0,50000,44326,2339,3335,2218,165,47617
22223AA7,9,0,50000,43620,4415,1965,2259,82,47659
22223AA7,K,0,50000,27103,18960,3937,2181,140,47679
22223AA7,A,0,50000,22631,6844,20525,716,477,48807
22223AAA,3,0,50000,19070,0,30930,14279,2617,33104
22223AAA,4,0,50000,20688,0,29312,14634,2095,33271
22223AAA,5,0,50000,24354,0,25646,14804,2166,33030
22223AAA,6,0,50000,26081,0,23919,15346,2041,32613
22223AAA,7,0,50000,14874,0,35126,15576,2728,31696
22223AAA,8,0,50000,13358,0,36642,15334,3231,31435
22223AAA,9,0,50000,13217,0,36783,13911,3301,32788
22223AAA,K,0,50000,10694,0,39306,11647,3591,34762
22223AAA,A,0,50000,5384,0,44616,7633,3956,38411
2222433A,3,0,50000,30763,6592,12645,2628,433,46939
2222433A,4,0,50000,30763,6432,12805,2583,405,47012
2222433A,5,0,50000,32418,5658,11924,2750,415,46835
2222433A,6,0,50000,34929,4244,10827,2642,361,46997
2222433A,7,0,50000,40423,2359,7218,3064,249,46687
2222433A,8,0,50000,39414,5419,5167,3120,155,46725
2222433A,9,0,50000,22672,20133,7195,3003,297,46700
2222433A,K,0,50000,20459,5865,23676,1915,1361,46724
2222433A,A,0,50000,17056,6139,26805,1069,328,48603
2222434A,3,0,50000,37447,6430,6123,3140,421,46439
2222434A,4,0,50000,37264,6516,6220,3067,455,46478
2222434A,5,0,50000,38346,5487,6167,3059,412,46529
2222434A,6,0,50000,39860,4320,5820,3145,412,46443
2222434A,7,0,50000,42931,3621,3448,3326,236,46438
2222434A,8,0,50000,44654,2101,3245,3206,242,46552
2222434A,9,0,50000,42802,5394,1804,3330,141,46529
2222434A,K,0,50000,26432,18545,5023,3129,299,46572
2222434A,A,0,50000,23164,6348,20488,1352,962,47686
222243A3,3,0,50000,30939,6470,12591,2626,433,46941
222243A3,4,0,50000,30739,6446,12815,2531,411,47058
222243A3,5,0,50000,32450,5607,11943,2654,403,46943
222243A3,6,0,50000,34781,4346,10873,2775,365,46860
222243A3,7,0,50000,40533,2326,7141,3034,260,46706
222243A3,8,0,50000,39297,5596,5107,3138,136,46726
222243A3,9,0,50000,22577,20144,7279,2969,281,46750
222243A3,K,0,50000,20533,5801,23666,1830,1300,46870
222243A3,A,0,50000,16939,6055,27006,997,314,48689
222243A4,3,0,50000,37312,6494,6194,3124,438,46438
222243A4,4,0,50000,37121,6565,6314,3056,405,46539
222243A4,5,0,50000,38357,5569,6074,3061,438,46501
222243A4,6,0,50000,40014,4369,5617,3154,401,46445
222243A4,7,0,50000,42907,3661,3432,3214,240,46546
